NOMESIGMAI,NOMESIG,NOME,UF,GEOCODIGO,LATITUDE,LATITUDEGM,LONGITUDE,LONGITUDEG,RGINT,RGI
SÃO JOSÉ DO CAMPESTRERN,São José do CampestreRN,São José do Campestre,RN,"2412302",-6.3176146,6° 19' 3.41'' S,-35.712658,35° 42' 45.57'' O,Natal,Santo Antônio - Passa e Fica - Nova Cruz
SÃO JOSÉ DO SERIDÓRN,São José do SeridóRN,São José do Seridó,RN,"2412401",-6.448025,6° 26' 52.89'' S,-36.881348,36° 52' 52.85'' O,Caicó,Caicó
SÃO MIGUELRN,São MiguelRN,São Miguel,RN,"2412500",-6.2137203,6° 12' 49.39'' S,-38.49621,38° 29' 46.35'' O,Mossoró,Pau dos Ferros
SÃO MIGUEL DO GOSTOSORN,São Miguel do GostosoRN,São Miguel do Gostoso,RN,"2412559",-5.12502,5° 7' 30.07'' S,-35.64241,35° 38' 32.68'' O,Natal,Natal
SÃO PAULO DO POTENGIRN,São Paulo do PotengiRN,São Paulo do Potengi,RN,"2412609",-5.893835,5° 53' 37.81'' S,-35.76477,35° 45' 53.17'' O,Natal,São Paulo do Potengi
SÃO PEDRORN,São PedroRN,São Pedro,RN,"2412708",-5.8962245,5° 53' 46.41'' S,-35.63495,35° 38' 5.82'' O,Natal,São Paulo do Potengi
SÃO RAFAELRN,São RafaelRN,São Rafael,RN,"2412807",-5.801741,5° 48' 6.27'' S,-36.88941,36° 53' 21.87'' O,Mossoró,Açu
SÃO TOMÉRN,São ToméRN,São Tomé,RN,"2412906",-5.9710526,5° 58' 15.79'' S,-36.074776,36° 4' 29.19'' O,Natal,São Paulo do Potengi
SÃO VICENTERN,São VicenteRN,São Vicente,RN,"2413003",-6.2193437,6° 13' 9.64'' S,-36.682995,36° 40' 58.79'' O,Caicó,Currais Novos
SENADOR ELÓI DE SOUZARN,Senador Elói de SouzaRN,Senador Elói de Souza,RN,"2413102",-6.035953,6° 2' 9.43'' S,-35.692795,35° 41' 34.05'' O,Natal,São Paulo do Potengi
SENADOR GEORGINO AVELINORN,Senador Georgino AvelinoRN,Senador Georgino Avelino,RN,"2413201",-6.1637917,6° 9' 49.65'' S,-35.125477,35° 7' 31.72'' O,Natal,Natal
SERRA DE SÃO BENTORN,Serra de São BentoRN,Serra de São Bento,RN,"2413300",-6.41777,6° 25' 3.97'' S,-35.704926,35° 42' 17.74'' O,Natal,Santo Antônio - Passa e Fica - Nova Cruz
SERRA DO MELRN,Serra do MelRN,Serra do Mel,RN,"2413359",-5.172688,5° 10' 21.68'' S,-37.041096,37° 2' 27.95'' O,Mossoró,Mossoró
SERRA NEGRA DO NORTERN,Serra Negra do NorteRN,Serra Negra do Norte,RN,"2413409",-6.6657796,6° 39' 56.81'' S,-37.39876,37° 23' 55.55'' O,Caicó,Caicó
SERRINHARN,SerrinhaRN,Serrinha,RN,"2413508",-6.2780604,6° 16' 41.02'' S,-35.4972,35° 29' 49.92'' O,Natal,Santo Antônio - Passa e Fica - Nova Cruz
SERRINHA DOS PINTOSRN,Serrinha dos PintosRN,Serrinha dos Pintos,RN,"2413557",-6.112203,6° 6' 43.93'' S,-37.9569,37° 57' 24.84'' O,Mossoró,Pau dos Ferros
